ProductName,ProductPrice,Category,Zodiac,ImageURL,Description,Stock
Aries Bath Gel,750,Bath Gel,Aries,https://example.com/rose.jpg,,50
Taurus Bath Gel,750,Bath Gel,Taurus ,https://example.com/lavender.jpg,,100
Gemini Bath Gel,750,Bath Gel,Gemini,https://example.com/brac.jpg,,30
Cancer Bath Gel,750,Bath Gel,Cancer,https://example.com/citrus.jpg,,40
Leo Bath Gel,750,Bath Gel,Leo,https://example.com/moonstone.jpg,,15
Virgo Bath Gel,750,Bath Gel,Virgo,,,
Libra Bath Gel,750,Bath Gel,Libra,,,
Scorpio Bath Gel,750,Bath Gel,Scorpio,,,
Sagittarius Bath Gel,750,Bath Gel,Sagittarius,,,
Capricorn Bath Gel,750,Bath Gel,Capricorn,,,
Aquarius Bath Gel,750,Bath Gel,Aquarius,,,
Pisces Bath Gel,750,Bath Gel,Pisces,,,
Aries soap,200,Sopa,Aries,,,
Taurus Soap,200,Sopa,Taurus ,,,
Gemini Sopa,200,Sopa,Gemini,,,
Cancer Sopa,200,Sopa,Cancer,,,
Leo Sopa,200,Sopa,Leo,,,
Virgo Sopa,200,Sopa,Virgo,,,
Libra Sopa,200,Sopa,Libra,,,
Scorpio Sopa,200,Sopa,Scorpio,,,
Sagittarius Sopa,200,Sopa,Sagittarius,,,
Capricorn Sopa,200,Sopa,Capricorn,,,
Aquarius Sopa,200,Sopa,Aquarius,,,
Pisces Sopa,200,Sopa,Pisces,,,
Aries Perfume,1800,Perfume,Aries,,,
Taurus Perfume,1800,Perfume,Taurus ,,,
Gemini Perfume,1800,Perfume,Gemini,,,
Cancer Perfume,1800,Perfume,Cancer,,,
Leo Perfume,1800,Perfume,Leo,,,
Virgo Perfume,1800,Perfume,Virgo,,,
Libra Perfume,1800,Perfume,Libra,,,
Scorpio Perfume,1800,Perfume,Scorpio,,,
Sagittarius Perfume,1800,Perfume,Sagittarius,,,
Capricorn Perfume,1800,Perfume,Capricorn,,,
Aquarius Perfume,1800,Perfume,Aquarius,,,
Pisces Perfume,1800,Perfume,Pisces,,,
Aries Essential Oil,750,Essential Oil,Aries,,,
Taurus  Essential Oil,750,Essential Oil,Taurus ,,,
Gemini  Essential Oil,750,Essential Oil,Gemini,,,
Cancer  Essential Oil,750,Essential Oil,Cancer,,,
Leo  Essential Oil,750,Essential Oil,Leo,,,
Virgo  Essential Oil,750,Essential Oil,Virgo,,,
Libra  Essential Oil,750,Essential Oil,Libra,,,
Scorpio  Essential Oil,750,Essential Oil,Scorpio,,,
Sagittarius  Essential Oil,750,Essential Oil,Sagittarius,,,
Capricorn  Essential Oil,750,Essential Oil,Capricorn,,,
Aquarius  Essential Oil,750,Essential Oil,Aquarius,,,
Pisces  Essential Oil,750,Essential Oil,Pisces,,,
Aries Body Lotion,750,Body Lotion,Aries,,,
Taurus  Body Lotion,750,Body Lotion,Taurus ,,,
Gemini  Body Lotion,750,Body Lotion,Gemini,,,
Cancer  Body Lotion,750,Body Lotion,Cancer,,,
Leo Body Lotion,750,Body Lotion,Leo,,,
Virgo  Body Lotion,750,Body Lotion,Virgo,,,
Libra  Body Lotion,750,Body Lotion,Libra,,,
Scorpio  Body Lotion,750,Body Lotion,Scorpio,,,
Sagittarius  Body Lotion,750,Body Lotion,Sagittarius,,,
Capricorn Body Lotion,750,Body Lotion,Capricorn,,,
Aquarius  Body Lotion,750,Body Lotion,Aquarius,,,
Pisces Body Lotion,750,Body Lotion,Pisces,,,
